date,sun_h,min_temp,max_temp,delta_temp
1986-05-25,11.544871794871796,8.946666666666665,22.426666666666673,13.480000000000008
1986-05-26,9.038461538461538,11.600000000000001,26.146666666666665,14.546666666666663
1986-05-27,3.4192307692307695,14.180000000000001,23.733333333333334,9.553333333333333
1986-05-28,0.8538461538461539,11.366666666666667,17.413333333333338,6.04666666666667
1986-05-29,0.3538461538461538,5.706666666666667,11.959999999999999,6.253333333333332
1986-05-30,2.566666666666667,4.6466666666666665,10.873333333333333,6.226666666666667
1986-05-31,5.667948717948718,4.866666666666666,14.153333333333334,9.286666666666669
1986-06-01,8.42051282051282,3.8200000000000003,17.073333333333334,13.253333333333334
1986-06-02,0.882051282051282,8.866666666666667,14.586666666666668,5.720000000000001
1986-06-03,8.293589743589743,8.153333333333332,19.113333333333333,10.96
1986-06-04,1.2974358974358973,6.326666666666665,14.32,7.993333333333335
1986-06-05,3.7884615384615388,5.06,12.653333333333332,7.593333333333333
1986-06-06,3.3653846153846154,5.133333333333332,12.366666666666665,7.233333333333333
1986-06-07,2.264102564102564,4.346666666666667,12.586666666666668,8.240000000000002
1986-06-08,8.366666666666667,7.406666666666667,19.24,11.833333333333332
1986-06-09,12.671794871794871,7.720000000000001,22.159999999999993,14.439999999999992
1986-06-10,12.03076923076923,10.219999999999999,24.993333333333336,14.773333333333337
1986-06-11,0.005128205128205128,10.126666666666667,16.853333333333335,6.726666666666668
1986-06-12,0.7871794871794873,8.546666666666665,12.933333333333332,4.386666666666667
1986-06-13,2.3153846153846156,8.873333333333333,14.859999999999998,5.986666666666665
1986-06-14,2.2205128205128206,10.7,18.339999999999996,7.639999999999997
1986-06-15,7.446153846153846,12.373333333333335,24.32,11.946666666666665
1986-06-16,5.592307692307693,13.433333333333332,25.779999999999998,12.346666666666666
1986-06-17,8.15,12.906666666666668,24.8,11.893333333333333
1986-06-18,6.925641025641026,14.226666666666667,24.879999999999995,10.653333333333329
1986-06-19,6.839743589743589,14.579999999999997,25.233333333333334,10.653333333333338
1986-06-20,7.248717948717949,14.526666666666667,25.84666666666667,11.320000000000004
1986-06-21,12.192307692307692,14.153333333333334,27.14666666666667,12.993333333333334
1986-06-22,12.657692307692308,15.699999999999998,29.24,13.540000000000001
1986-06-23,9.79102564102564,16.52,28.939999999999998,12.419999999999998
1986-06-24,7.658974358974359,14.506666666666668,23.133333333333336,8.626666666666669
1986-06-25,12.285897435897436,13.593333333333334,26.279999999999998,12.686666666666664
1986-06-26,12.967948717948719,14.706666666666669,27.92,13.213333333333333
1986-06-27,12.825641025641026,15.213333333333335,28.719999999999995,13.50666666666666
1986-06-28,12.74102564102564,15.653333333333334,29.473333333333326,13.819999999999991
1986-06-29,13.126923076923077,15.173333333333334,29.08,13.906666666666665
1986-06-30,13.319230769230769,14.846666666666666,26.79333333333334,11.946666666666674
1986-07-01,13.026923076923078,13.866666666666665,26.800000000000004,12.933333333333339
1986-07-02,12.157692307692308,14.066666666666665,27.973333333333336,13.906666666666672
1986-07-03,5.251282051282051,15.806666666666668,26.679999999999996,10.873333333333328
1986-07-04,9.673076923076923,14.879999999999999,26.56,11.68
1986-07-05,6.457692307692308,15.253333333333334,27.90666666666667,12.653333333333336
1986-07-06,0.6615384615384615,13.553333333333333,22.013333333333332,8.459999999999999
1986-07-07,4.264102564102564,12.726666666666667,20.053333333333335,7.326666666666668
1986-07-08,2.351282051282051,12.113333333333333,17.973333333333336,5.860000000000003
1986-07-09,3.367948717948718,11.879999999999999,19.68,7.800000000000001
1986-07-10,5.982051282051282,11.046666666666665,20.819999999999997,9.773333333333332
1986-07-11,4.406410256410256,10.866666666666667,20.686666666666667,9.82
1986-07-12,2.4384615384615387,12.440000000000001,19.666666666666668,7.226666666666667
1986-07-13,6.443589743589744,11.653333333333334,21.12,9.466666666666667
1986-07-14,12.03076923076923,10.913333333333332,20.913333333333334,10.000000000000002
1986-07-15,12.903846153846155,9.719999999999999,22.89333333333333,13.173333333333332
1986-07-16,12.567948717948719,11.440000000000001,25.506666666666668,14.066666666666666
1986-07-17,11.333333333333334,13.680000000000001,27.300000000000004,13.620000000000003
1986-07-18,0.10512820512820513,14.186666666666666,19.926666666666666,5.74
1986-07-19,1.5525641025641026,12.359999999999998,17.026666666666667,4.66666666666667
1986-07-20,7.87948717948718,11.473333333333333,20.953333333333333,9.48
1986-07-21,12.453846153846154,10.513333333333334,23.806666666666672,13.293333333333338
1986-07-22,12.252564102564103,12.286666666666665,26.44666666666667,14.160000000000004
1986-07-23,3.471794871794872,14.46,25.93333333333333,11.47333333333333
1986-07-24,5.365384615384615,10.053333333333333,18.64,8.586666666666668
1986-07-25,12.535897435897436,8.086666666666666,23.006666666666668,14.920000000000002
1986-07-26,8.603846153846154,12.446666666666665,24.85333333333333,12.406666666666666
1986-07-27,12.184615384615386,13.606666666666666,26.73333333333333,13.126666666666665
1986-07-28,12.201282051282051,14.78,28.199999999999996,13.419999999999996
1986-07-29,6.941025641025641,17.033333333333335,29.38,12.346666666666664
1986-07-30,10.506410256410255,16.533333333333335,28.533333333333328,11.999999999999993
1986-07-31,3.864102564102564,17.48,28.29333333333334,10.81333333333334
1986-08-01,6.269230769230769,16.246666666666663,25.226666666666667,8.980000000000004
1986-08-02,11.273076923076923,15.840000000000003,29.540000000000003,13.7
1986-08-03,12.220512820512822,17.473333333333333,32.29333333333334,14.820000000000004
1986-08-04,5.107692307692307,17.020000000000003,27.880000000000003,10.86
1986-08-05,3.6628205128205127,14.68,21.466666666666672,6.786666666666672
1986-08-06,10.223076923076922,13.186666666666664,26.14,12.953333333333337
1986-08-07,11.506410256410255,14.8,27.073333333333338,12.273333333333337
1986-08-08,5.885897435897435,15.306666666666665,24.066666666666666,8.760000000000002
1986-08-09,7.194871794871795,13.566666666666665,26.30666666666667,12.740000000000004
1986-08-10,5.062820512820513,15.513333333333334,24.8,9.286666666666667
1986-08-11,5.901282051282052,15.493333333333334,26.160000000000004,10.66666666666667
1986-08-12,1.0115384615384615,13.786666666666667,18.459999999999997,4.67333333333333
1986-08-13,7.733333333333333,11.873333333333335,22.259999999999998,10.386666666666663
1986-08-14,11.267948717948718,13.266666666666667,24.279999999999998,11.01333333333333
1986-08-15,9.656410256410256,13.213333333333331,27.119999999999997,13.906666666666666
1986-08-16,9.516666666666667,13.666666666666666,26.373333333333335,12.706666666666669
1986-08-17,7.817948717948719,15.733333333333333,27.959999999999997,12.226666666666665
1986-08-18,3.4884615384615385,14.42,24.246666666666666,9.826666666666666
1986-08-19,2.3692307692307693,12.633333333333333,20.30666666666667,7.673333333333336
1986-08-20,8.02051282051282,12.306666666666667,20.493333333333332,8.186666666666666
1986-08-21,10.229487179487178,10.893333333333329,22.32,11.426666666666671
1986-08-22,9.911538461538463,13.140000000000002,27.160000000000007,14.020000000000005
1986-08-23,2.437179487179487,12.206666666666665,19.65333333333333,7.446666666666664
1986-08-24,1.0897435897435899,10.306666666666668,16.119999999999997,5.813333333333329
1986-08-25,8.894871794871795,8.699999999999998,19.36,10.660000000000002
1986-08-26,4.371794871794872,11.893333333333334,23.199999999999996,11.306666666666661
